"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Sam Mott",420.666672,0,"","GB",4346,2.0,12,14,96,7,51,1,3,190,5,3.0,671814
2,"Daniel Case2",418.0,0,"","US",4844,2.0,8,8,31,4,28,1,3,84,4,2.0,717224
3,"Wang Ho Yin",403.5,0,"","HK",5723,3.0,13,17,73,8,58,1,3,164,8,3.0,637769
4,"Pierre Olivier",398.699997,0,"","FR",4694,3.0,33,37,208,14,67,1,3,427,17,3.0,1199856
5,"David Rodríguez4",397.5,0,"","ES",5808,2.0,12,12,88,9,6,1,3,126,8,2.0,995197
6,"Luka Bogunovic",390.0,0,"","NZ",4250,2.0,3,3,21,2,1,1,3,33,1,3.0,1144836
7,"Tore Wåhlin",381.83333600000003,0,"","SE",3063,4.0,15,20,40,4,57,2,3,202,0,6.0,1167470
8,"Brett McBurnie",381.0,0,"","AU",6942,2.0,5,5,33,3,7,1,3,57,4,1.0,22184
9,"Wen Jun",379.5,0,"","CN",4176,4.0,43,55,158,18,196,1,3,528,12,3.0,1270700
10,"Eemil Vehanen",378.0,0,"","FI",3837,4.0,11,15,10,2,40,2,3,148,1,5.0,1141154
11,"Bruno Matos2",374.5,0,"","BR",3808,3.0,9,11,25,3,33,2,3,109,3,4.0,660286
12,"Stephen Strudwick",371.66666399999997,0,"","GB",3539,4.0,19,25,87,5,112,2,3,285,9,3.0,1337570
13,"Leonardo Mallaco",369.333328,0,"","BR",2517,5.0,32,45,130,9,114,3,3,456,9,4.0,846713
14,"Miguel Lozano",367.0,0,"","ES",3551,3.0,10,11,24,3,12,2,3,117,3,3.0,154768
15,"Steve Vandeputte",366.76667,0,"","BE",2404,6.0,31,57,105,8,297,4,3,585,12,4.0,1223052
16,"Guilherme Schlemper",355.5,0,"","BR",3322,3.0,10,10,15,1,26,2,3,96,1,5.0,1310863
17,"Tony Alberts",355.0,0,"","US",3296,3.0,7,8,27,2,21,2,3,96,3,2.0,878678
18,"Bogdan Krystek",350.657143,0,"","CA",2839,5.0,40,72,56,4,349,4,3,785,9,4.0,1147090
19,"Marcellus Allen2",345.785713,0,"","US",2960,5.0,32,52,2,1,195,3,3,596,0,10.0,1076146
20,"Scott Cooper7",335.66666399999997,0,"","AU",2817,4.0,21,26,39,3,99,3,3,302,6,4.0,1196186
21,"Alexandre La Boissonniere",329.8333359,0,"","CA",2438,6.0,25,46,89,7,243,6,3,481,8,4.0,1367417
22,"Jayden Sherwood",324.0,0,"","GB",5762,1.0,4,4,41,4,18,1,2,48,3,1.0,902107
23,"Varot Anuchatkul",322.952377,0,"","TH",2097,6.0,28,50,81,6,260,8,3,464,8,6.0,1301328
24,"Sondre Mollatt",322.5,0,"","NO",3974,3.0,9,10,62,6,37,2,2,97,7,1.0,808823
25,"Mirko Orlandelli",322.5,0,"","IT",2175,7.0,7,18,8,0,133,3,3,186,0,7.0,1207312
26,"Carson Krenz",319.41666399999997,0,"","US",3563,5.0,17,25,36,3,84,1,3,268,5,3.0,301961
