Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,LatAccel,LongAccel,YawRate
45.011985778808594,0.0001664000446908176,-34.00790504629371,150.73304730711834,0.0,1.0,6861.5341796875,0.04009396582841873,3,0.874242901802063,1.7275208234786987,0.027810916304588318
45.043678283691406,0.00045486638555303216,-34.007901800822296,150.73305445147528,0.0,1.0,6870.90576171875,0.04096582531929016,3,0.8280748128890991,1.8154113292694092,0.03480173647403717
45.07590866088867,0.0007435408188030124,-34.007898555075755,150.73306159583223,0.0,1.0,6868.6201171875,0.041255682706832886,3,0.8516790866851807,1.8332512378692627,0.03733384981751442
45.10849380493164,0.0010324238101020455,-34.00789539984803,150.73306874018917,0.0,1.0,6867.75732421875,0.03835027664899826,3,0.8464301228523254,1.901251196861267,0.039247751235961914
45.14056396484375,0.0013215143699198961,-34.00789215410149,150.7330758845461,0.0,1.0,6869.66552734375,0.029633987694978714,3,0.933788537979126,1.5872938632965088,0.042772941291332245
45.16695022583008,0.001610789098776877,-34.00788890863008,150.73308302890305,0.0,1.0,6881.98388671875,0.015978720039129257,3,0.7987110614776611,1.5288147926330566,0.04109761863946915
45.19691848754883,0.001900249277241528,-34.00788566288353,150.73309017326002,0.0,1.0,6901.70751953125,0.002615558449178934,3,0.6795958280563354,1.7625913619995117,0.03377949818968773
45.228275299072266,0.0021898956038057804,-34.007882327168424,150.73309731761697,0.0,1.0,6896.5126953125,-0.013074415735900402,3,0.6660988330841064,1.8260904550552368,0.029042262583971024
45.26304244995117,0.0024797627702355385,-34.00787908169701,150.7331044619739,0.0,1.0,6890.21484375,-0.02963511273264885,3,0.6507261991500854,2.046278715133667,0.018334846943616867
45.297000885009766,0.002769862301647663,-34.00787583595047,150.7331116060005,0.0,1.0,6885.29638671875,-0.04358025640249252,3,0.5489092469215393,1.887495756149292,0.005318298004567623
45.328548431396484,0.0030601611360907555,-34.00787259047905,150.73311885871038,0.0,1.0,6883.64892578125,-0.05229540541768074,3,0.4744735360145569,1.7558038234710693,-0.005944824777543545
45.35637283325195,0.0033506471663713455,-34.00786934473251,150.73312600306733,0.0,1.0,6892.6318359375,-0.057816386222839355,3,0.48012396693229675,1.4802130460739136,-0.01608072593808174
45.3835334777832,0.0036413196939975023,-34.0078660992611,150.73313314742427,0.0,1.0,6910.30029296875,-0.056654684245586395,3,0.2856922447681427,1.5734589099884033,-0.025330346077680588
45.4119987487793,0.003932156600058079,-34.007862763545994,150.73314039980383,0.0,1.0,6917.8671875,-0.0491001196205616,3,0.38121509552001953,1.6843520402908325,-0.031116439029574394
45.44324493408203,0.004223193507641554,-34.007859517799446,150.73314754416077,0.0,1.0,6918.73193359375,-0.04038383439183235,3,0.4717864394187927,1.8566985130310059,-0.034111447632312775
45.4714469909668,0.004514429252594709,-34.007856272328034,150.73315479687065,0.0,1.0,6919.4638671875,-0.026438701897859573,3,0.3795175552368164,1.5039843320846558,-0.040239471942186356
45.502193450927734,0.004805839154869318,-34.00785302658149,150.7331619412276,0.0,1.0,6934.12353515625,-0.009587004780769348,3,0.32091861963272095,1.851946234703064,-0.03682137653231621
45.53377151489258,0.005097447894513607,-34.00784969086639,150.73316919360713,0.0,1.0,6930.193359375,0.006101842969655991,3,0.5843870639801025,1.819484829902649,-0.028826558962464333
45.564334869384766,0.005389267113059759,-34.00784644511984,150.73317644631703,0.0,1.0,6922.76123046875,0.019176259636878967,3,0.5796242952346802,1.7502312660217285,-0.02059115655720234
45.59384536743164,0.005681273527443409,-34.00784310940473,150.73318359067397,0.0,1.0,6933.72021484375,0.033993251621723175,3,0.5155506730079651,1.707590937614441,-0.011386601254343987
45.623355865478516,0.0059734731912612915,-34.00783986393332,150.7331908430535,0.0,1.0,6938.875,0.04619580879807472,3,0.618617057800293,1.725425362586975,0.001024772529490292
45.653194427490234,0.006265874020755291,-34.00783661818677,150.73319809576338,0.0,1.0,6934.25537109375,0.05433010682463646,3,0.7047920823097229,1.6920514106750488,0.011916069313883781
45.679786682128906,0.006558448076248169,-34.007833282471665,150.73320534814295,0.0,1.0,6940.96240234375,0.061012811958789825,3,0.845903754234314,1.315589427947998,0.020701564848423004
45.70447540283203,0.00685118418186903,-34.007830037000254,150.7332124924999,0.0,1.0,6965.806640625,0.06740451604127884,3,0.7363825440406799,1.4115192890167236,0.032144490629434586
45.72756576538086,0.007144085597246885,-34.00782670128515,150.73321974520977,0.0,1.0,6982.34130859375,0.0665326714515686,3,0.8446292877197266,1.275883436203003,0.04461359977722168
45.75262451171875,0.007437126245349646,-34.00782336529491,150.73322699758933,0.0,1.0,6995.0869140625,0.06013984978199005,3,0.6517210006713867,1.4202775955200195,0.050785571336746216
45.78123474121094,0.007730340119451284,-34.0078201198235,150.7332342502992,0.0,1.0,7002.83740234375,0.051424674689769745,3,0.9031343460083008,1.5212377309799194,0.05569775030016899
45.809268951416016,0.008023738861083984,-34.00781678410839,150.73324150267874,0.0,1.0,7006.7841796875,0.040674835443496704,3,0.9391080737113953,1.4894025325775146,0.058582670986652374
45.83578872680664,0.008317307569086552,-34.007813538361845,150.73324875538864,0.0,1.0,7017.26171875,0.03021484613418579,3,0.9799767136573792,1.6202855110168457,0.059022869914770126
45.86721420288086,0.008611048571765423,-34.00781020264674,150.73325600809852,0.0,1.0,7023.1494140625,0.018594270572066307,3,1.3438555002212524,1.8764111995697021,0.06506232917308807
45.898563385009766,0.008905007503926754,-34.00780686693163,150.73326326047805,0.0,1.0,7010.005859375,0.007263561710715294,3,1.3369553089141846,1.677878975868225,0.06255018711090088
