"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Jayden Sherwood",479.0,0,"","GB",5828,1.0,5,5,50,5,20,1,3,57,4,1.0,902107
2,"Sondre Mollatt",446.5,0,"","NO",4007,2.0,10,11,62,6,41,2,3,106,7,1.0,808823
3,"Sam Mott",428.666672,0,"","GB",4245,3.0,14,16,96,7,65,1,3,208,5,3.0,671814
4,"Mathias Klein",421.0,0,"","DE",4859,2.0,5,5,33,3,0,1,3,51,3,2.0,114183
5,"David Rodríguez4",418.5,0,"","ES",5848,1.0,13,13,97,10,6,1,3,135,9,2.0,995197
6,"Daniel Case2",418.0,0,"","US",4724,2.0,8,8,31,4,28,1,3,84,4,2.0,717224
7,"Pierre Olivier",405.699997,0,"","FR",4756,3.0,36,40,208,14,71,1,3,454,17,3.0,1199856
8,"Wang Ho Yin",403.5,0,"","HK",5749,3.0,14,18,82,9,59,1,3,173,8,3.0,637769
9,"Dima Syrkin2",402.666672,0,"","BY",4246,4.0,18,22,54,5,94,1,3,206,0,4.0,922603
10,"Brett McBurnie",398.0,0,"","AU",6960,2.0,6,6,42,4,7,1,3,66,5,1.0,22184
11,"Luka Bogunovic",390.0,0,"","NZ",4250,2.0,3,3,21,2,1,1,3,33,1,3.0,1144836
12,"Elijah K White",385.5,0,"","US",3279,5.0,5,10,33,2,38,1,3,104,5,2.0,1151613
13,"Bruno Matos2",381.5,0,"","BR",3538,3.0,11,13,25,3,34,2,3,127,4,3.0,660286
14,"Tore Wåhlin",381.33333600000003,0,"","SE",2907,5.0,16,23,40,4,73,2,3,222,0,6.0,1167470
15,"Wen Jun",379.66666399999997,0,"","CN",4114,4.0,55,71,197,22,226,1,3,672,17,3.0,1270700
16,"Eemil Vehanen",378.0,0,"","FI",3837,4.0,11,15,10,2,40,2,3,148,1,5.0,1141154
17,"Stephen Strudwick",374.91666399999997,0,"","GB",3619,4.0,26,35,118,8,137,2,3,373,13,3.0,1337570
18,"Leonardo Mallaco",371.66666399999997,0,"","BR",2989,5.0,33,47,130,9,119,3,3,474,9,4.0,846713
19,"Luca Bono",370.5,0,"","IT",3666,5.0,8,12,2,0,47,2,3,138,2,4.0,1244989
20,"Steve Vandeputte",368.166672,0,"","BE",2456,6.0,39,79,128,10,420,4,3,775,22,3.0,1223052
